department,course_id,course_name,quality,num_of_reviews,distribs,layup
WRIT,WRIT007.33,Controv Sci and Pub Opinion,1,1,SOC,-1
WRIT,WRIT007.34,Contemporary Ethical Issues,1,2,,1
WRIT,WRIT007.35,Sound Surveillance & Cinema,0,0,,0
WRIT,WRIT007.36,Mad Women,2,-1,,-1
WRIT,WRIT007.37,Anthropogenesis,1,0,,0
WRIT,WRIT007.38,Cultures of Self-Loathing,2,3,,2
WRIT,WRIT007,First-year Seminar in Writing,11,4,,0
WRIT,WRIT008,Writing with Media,5,1,ART,0
WRIT,WRIT009,Composition: Theory and Practice,0,0,ART,0
WRIT,WRIT010,Writing In The Workplace,0,0,,0
WRIT,WRIT019,Multilingual Academic Writing in Higher Education,0,0,SOC,0
WRIT,WRIT020,"Understanding the Rhetoric of Media Culture: Reading Signs, Rescuing Identities",0,0,ART,0
WRIT,WRIT041,Writing and Speaking Public Policy,0,0,"ART, W",0
WRIT,WRIT042,The Art of Science Writing,1,1,,0
WRIT,WRIT043,The Written Judicial Opinion,11,7,SOC,1
WRIT,WRIT044.01,Life Sciences Writing and Communication,0,2,ART,0
WRIT,WRIT044.02,Science and Technology Writing and Presentation,0,3,ART,0
WRIT,WRIT044.03,Public Sci Communications,0,0,SOC,0
WRIT,WRIT044,Writing and Science,0,0,,0
WRIT,WRIT080,Independent Research,0,0,,0
WGSS,WGSS001,Intersections,7,6,"SOC, CI",7
WGSS,WGSS003,Global Race x Global Migrat,1,1,"INT, SOC, CI",1
WGSS,WGSS007.01,Gender in Science Fiction,0,0,LIT,-1
WGSS,WGSS007.04,Women in Journalism,6,13,"SOC, W",3
WGSS,WGSS007.05,Gay Literature in Americas,0,0,"INT, LIT, CI",0
WGSS,WGSS007.08,Gender and Genius,1,1,"LIT, CI",1
WGSS,WGSS007.11,Writing India,0,0,"INT, LIT, CI",0
WGSS,WGSS007.12,Humanities and Human Rights,1,1,ART,1
WGSS,WGSS007.13,Gender and Urban Transform,0,0,"TMV, CI",0
WGSS,WGSS007.14,Black Women's Activism,0,0,"TMV, CI",0
WGSS,WGSS007.15,"Looks, Lookism and the Law",1,6,TMV,1
WGSS,WGSS007.16,The Body: West Vis Cult,0,0,"ART, W",0
WGSS,WGSS007.17,Watch Your Language!,1,2,"SOC, CI",0
WGSS,WGSS007.18,Women Monasticism Buddhism,0,2,"INT, SOC, NW",0
WGSS,WGSS007.19,New Dickinson,1,4,"LIT, W",0
WGSS,WGSS007.20,Gender & US Militarism,0,2,,1
WGSS,WGSS007,"First-Year Seminar in Women's, Gender, and Sexuality Studies",49,9,,2
WGSS,WGSS010,"Sex, Gender, and Society",127,145,"SOC, CI",175
WGSS,WGSS012,Feminist and Queer Theories,1,2,"SOC, CI",-3
WGSS,WGSS015,Roots of Feminisms: Texts and Contexts,3,5,"SOC, CI",5
WGSS,WGSS016,Contemporary Issues in Feminism: Theory and Practice,13,4,"SOC, CI",1
WGSS,WGSS018.01,Gay Lsbn Bsxl Trnsgdr Study,1,-2,"SOC, CI",2
WGSS,WGSS018,"Introduction to Lesbian, Gay, Bisexual, and Transgender Studies",10,0,"SOC, CI",4
WGSS,WGSS020.02,"#MeToo: Intersectionality, Hashtag Activism, and Our Lives",1,2,"SOC, CI",2
WGSS,WGSS020.03,"Introduction to the Study of Race, Migration, and Sexuality",0,0,"INT, SOC, NW",0
WGSS,WGSS021.01,"Slaves, Wives, & Concubines: Did Roman Women Have a History?",0,0,"SOC, CI",0
WGSS,WGSS021.02,Fictions of Sappho,0,0,"LIT, CI",0
WGSS,WGSS021.03,Gender and Sexuality in Ancient Greece,0,0,"SOC, W",0
WGSS,WGSS022.01,Gender and European Society from Antiquity to the Reformation,1,1,"TMV, CI",0
WGSS,WGSS023.01,Gender and Power in American History,0,0,"SOC, W",0
WGSS,WGSS023.02,American Women in the Twentieth Century,0,0,"SOC, CI",0
WGSS,WGSS024.01,Arab Feminisms,1,0,"INT, NW, LIT",1
WGSS,WGSS024.02,Gender and The Modern Middle East and North Africa,0,0,"SOC, NW",0
WGSS,WGSS026.02,Women and American Radicalism Left and Right,3,8,"SOC, CI",-1
WGSS,WGSS026.03,History of Sexuality,1,2,"SOC, W",2
WGSS,WGSS030.01,"Women, Gender and Development",0,0,"SOC, CI",0
WGSS,WGSS030.04,"Women, Work, and Wealth",0,0,"SOC, CI",0
WGSS,WGSS030.05,Maid in America: The Politics of Domestic Labor,1,4,"ART, CI",0
WGSS,WGSS030.06,Women and Poverty in the United States,2,2,"SOC, CI",2
WGSS,WGSS031.01,Sex and the State in Latin America,0,0,"SOC, NW",0
WGSS,WGSS031.02,"Power to the People: Black Power, Radical Feminism, Gay Liberation",0,0,"SOC, CI",0
WGSS,WGSS031.04,Women and Politics,1,1,"SOC, CI",-2
WGSS,WGSS032.03,The Constitutional Rights of Women,1,2,"TMV, CI",2
WGSS,WGSS033.01,Constructing Black Womanhood,0,0,"SOC, CI",0
WGSS,WGSS033.03,Gender and Judaism,0,0,"TMV, CI",0
WGSS,WGSS033.05,Unstalling the Stalled Revolution: Gender (In)edistribs1 at Work and at Home,1,0,"SOC, W",0
WGSS,WGSS033.07,"Love, Romance, Intimacy and Dating",0,0,SOC,0
WGSS,WGSS033.08,Sociology of Family,0,0,"SOC, W",0
WGSS,WGSS034.02,Gender Identities and Politics in Africa,0,2,"INT, CI",0
WGSS,WGSS034.04,Sociology of Gender,0,0,SOC,0
WGSS,WGSS035.01,What's the T? Gender Variance and Identity Politics in Modernity,0,0,,0
WGSS,WGSS035.02,Lived Bodies: The Self and The Other,0,0,"TMV, CI",0
WGSS,WGSS036.01,Gender in Cross-Cultural Perspective,3,3,"INT, SOC, CI",3
WGSS,WGSS036.06,Gender and Sexuality in Asian American Literature,0,0,LIT,0
WGSS,WGSS037.02,"Gender, Space and Islam",0,0,,0
WGSS,WGSS037.03,Social Justice and the City,0,1,"SOC, CI",0
WGSS,WGSS037.04,Carceral Geographies: Explaining Mass Incarceration in the US,0,0,SOC,0
WGSS,WGSS037.06,Women in Asian Cities,0,0,"SOC, CI",0
WGSS,WGSS038.02,Women and Gender in the African Diaspora,0,0,,0
WGSS,WGSS040.01,Gender Topics in Native American Life,0,3,"SOC, CI",3
WGSS,WGSS040.02,"10 Weeks, 10 Professors: #BlackLivesMatter",0,0,"SOC, CI",0
WGSS,WGSS040.03,Racial Justice,0,0,SOC,0
WGSS,WGSS040.04,"Black Women's Activism, 1970-present",0,0,"SOC, CI",0
WGSS,WGSS040.05,Feminist and Queer Performance at the Limit of Action,0,2,"ART, CI",2
WGSS,WGSS040.06,Race and Memory: Feminist and Queer Performance Against Disavowal,2,2,"INT, SOC, CI",2
WGSS,WGSS041.04,Muslim Feminism,0,0,"INT, SOC, NW",0
WGSS,WGSS041.05,Gender & Violence: Analyses,0,0,"INT, SOC, CI",0
WGSS,WGSS041.06,Transnational Feminisms,5,10,"INT, SOC, NW",4
WGSS,WGSS042.05,Ethnography of Violence,0,0,"INT, SOC, NW",0
WGSS,WGSS042.06,Gender and the Global War on Terror,0,0,"INT, SOC, CI",0
WGSS,WGSS043.02,"Sex, Celibacy, and the Problem of Purity: Asceticism and the Human Body in Late Antiquity",2,1,"W, TMV",2
WGSS,WGSS043.03,Women and the Bible,0,0,"TMV, CI",0
WGSS,WGSS043.04,Goddesses of India,0,0,"NW, TMV",0
WGSS,WGSS043.05,Body and Sex in Chinese Religions,0,0,,0
WGSS,WGSS043.06,Gender in Islam,3,2,"NW, TMV",2
WGSS,WGSS044.03,"Women, Religion and Social Change in Africa",1,1,"SOC, NW",1
WGSS,WGSS044.05,The Virgin of Guadalupe: From Tilma to Tattoo,0,0,,0
WGSS,WGSS044.07,"The Struggle for Liberation: Women, Monasticism, and Buddhism",0,0,"INT, NW",0
WGSS,WGSS046.01,Philosophy and Gender,1,2,"TMV, CI",1
WGSS,WGSS047.03,Modern American Women Poets,0,2,"LIT, W",0
WGSS,WGSS048.07,Sex and Gender in the Italian Renaissance,0,0,"LIT, W",0
WGSS,WGSS048.08,Desire and Difference in 19th Century British Fiction,1,3,"LIT, W",-2
WGSS,WGSS048.09,Nineteenth-Century British Women Writers,0,0,"LIT, W",0
WGSS,WGSS049.05,Sexing Korea: Gender and Sexuality in Korean Popular Culture and Literature,0,0,,0
WGSS,WGSS049.06,Women and War in Modern Arabic Literature and Film,0,0,"NW, LIT",0
WGSS,WGSS051.07,Memoirs and the Work They Do,0,0,,0
WGSS,WGSS051.09,Young Adult Literature,1,0,"LIT, CI",-2
WGSS,WGSS051.10,"Narratives of Un-belonging: Bad Asians, Queer Texts",0,0,"LIT, CI",0
WGSS,WGSS052.01,Colonial and Postcolonial Masculinities,0,0,,0
WGSS,WGSS052.03,"Feminism, Islam, and Modernity in Postcolonial and Global Contexts",0,0,,0
WGSS,WGSS052.04,Arts Against Empire: Fictions of Revolution and Solidarity in the Americas,0,0,"INT, LIT, W",0
WGSS,WGSS052.05,"Women, Representation, Power: Writing India, Then and Now",0,0,"SOC, NW",0
WGSS,WGSS052.06,Black Queer & Trans Futures: An Experiment,0,0,"SOC, CI",0
WGSS,WGSS053.02,"Hand to Mouth: Writing, Eating, and the Construction of Gender",0,0,LIT,0
WGSS,WGSS053.05,"The Poetry and Rhetoric of Love, from Petrarch to Social Media",0,0,"LIT, W",0
WGSS,WGSS053.07,"Language, Gender & Sexuality",0,0,SOC,1
WGSS,WGSS056.01,TV and Histories of Gender,0,0,"ART, CI",0
WGSS,WGSS056.03,"Family Matters: Pedro Almodovar, Gender Reversals, and New Communities",2,3,"ART, CI",2
WGSS,WGSS056.04,Women and Journalism in the U.S.,1,1,,1
WGSS,WGSS056.07,From Fanny to the Nanny: Jewish Women and Humor,0,0,,0
WGSS,WGSS056.11,Women Make Movies,0,0,"ART, W",0
WGSS,WGSS056.12,Black Queer Lit & Film,0,0,"ART, CI",0
WGSS,WGSS057.01,Data and Bodies,0,0,SOC,0
WGSS,WGSS058.05,Women in Art,0,0,"ART, W",0
WGSS,WGSS059.03,Unveiling the Harem Dancer,0,0,,0
WGSS,WGSS059.04,"Race, Gender, and Performance",0,0,"ART, CI",1
WGSS,WGSS059.05,"Sex and Drama: Sexuality Theory, Theatrical Representation",0,0,,0
WGSS,WGSS059.06,I Will Survive: Women's Political Resistance Through Popular Song,0,0,,0
WGSS,WGSS059.07,Latinx Performance,0,0,"INT, ART, CI",0
WGSS,WGSS061.02,Plagues and Politics: The Impact of AIDS on U. S. Society,0,0,,0
WGSS,WGSS061.04,Women and Madness,0,0,,0
WGSS,WGSS061.05,Gender and Global Health,0,0,,0
WGSS,WGSS061.06,Feminist Perspectives on Reproductive Ethics,0,0,TMV,0
WGSS,WGSS062.02,A Global History of Sexual Science,0,0,"INT, SOC, NW",0
WGSS,WGSS062.03,Gender and the Anthropocene,0,0,"LIT, CI",0
WGSS,WGSS062.04,Women and the Making of Science,0,0,,0
WGSS,WGSS065.04,Queer Visual Culture,1,-1,"ART, CI",1
WGSS,WGSS065.06,"Radical Sexuality: Of Color, Wildness, and Fabulosity",3,7,"INT, NW, ART",3
WGSS,WGSS065.07,Queer Popular Culture,1,1,"INT, SOC, CI",0
WGSS,WGSS065.08,Black LGBTQ History,0,0,"SOC, W",0
WGSS,WGSS066.01,Times of Crisis,0,3,"SOC, CI",0
WGSS,WGSS066.02,Social Justice and Computing,0,2,SOC,1
WGSS,WGSS066.03,"Transnational Migration: Critical Ethnic, Indigenous and Queer Crossings",0,0,"INT, ART, CI",0
WGSS,WGSS066.04,Introduction to Black Feminist Thought,0,3,"SOC, CI",3
WGSS,WGSS066.05,Telling Stories for Social Change,0,2,"ART, CI",1
WGSS,WGSS066.06,Bodies and Technologies in Asian American Popular Cultures,4,4,"ART, CI",1
WGSS,WGSS066.07,African Diaspora Women Writers,3,4,"LIT, CI",0
WGSS,WGSS066.08,"Self, Subject, Photography",1,0,"ART, CI",0
WGSS,WGSS066.09,Black Consciousness and Black Feminisms,0,0,"SOC, CI",0
WGSS,WGSS066.11,Black Elegies,1,2,"LIT, CI",-1
WGSS,WGSS066.12,"Gndr, Performance & Healing",0,2,"ART, CI",0
WGSS,WGSS066.13,Gender/Jewish-German Cultur,0,0,"LIT, CI",0
WGSS,WGSS066.14,Gender and Family Issues,0,0,SOC,0
WGSS,WGSS066.15,Feminist & Queer Africa,0,0,"NW, ART",0
WGSS,WGSS066.16,Feminist Sociology,2,2,"INT, SOC, NW",1
WGSS,WGSS066.17,Labors of Love,0,0,"INT, NW, LIT",0
WGSS,WGSS066.18,Hybrid Literatures,1,3,"ART, CI",0
WGSS,WGSS066.19,EroticismLoveSensinHispFilm,0,0,"ART, W",0
WGSS,WGSS066,"Special Topics in Women's, Gender, and Sexuality Studies",0,0,,0
WGSS,WGSS067.01,"Freud: Psychoanalysis, Jews, and Gender (in English)",0,0,"SOC, CI",1
WGSS,WGSS067.02,Modern Sex:Weimar Republic,0,0,"LIT, CI",0
WGSS,WGSS067.03,"Sex, Violence and the Internet",0,0,,0
WGSS,WGSS067.04,Humanities and Human Rights: Thoughts on Community,0,1,"INT, ART, CI",0
WGSS,WGSS067.05,Feminist Theory,0,0,SOC,0
WGSS,WGSS080,"Seminar in Women's, Gender, and Sexuality Studies",9,4,SOC,2
WGSS,WGSS085,Independent Study,0,0,,1
WGSS,WGSS090,"Foreign Study in Women's, Gender, and Sexuality Studies I",0,0,,1
WGSS,WGSS091,"Foreign Study in Women's, Gender, and Sexuality Studies II",0,0,,1
WGSS,WGSS092,"Foreign Study in Women's, Gender, and Sexuality Studies III",0,0,,1
WGSS,WGSS096,Advanced Research in Gender Studies,0,0,,1
WGSS,WGSS098,Honors Thesis I,0,0,,1
WGSS,WGSS099,Honors Thesis II,0,0,,1
TUCK,TUCK001,Financial Accounting,22,14,,-7
TUCK,TUCK002,Principles of Marketing,23,18,,16
TUCK,TUCK003,Business Management and Strategy,9,2,,2
THEA,THEA001,Introduction to Theater,11,5,ART,4
THEA,THEA007.01,Theater for Social Change,7,3,ART,17
THEA,THEA007.02,Documentary Theatre,0,0,"ART, CI",0
THEA,THEA007,First-Year Seminars in Theater,19,5,,4
THEA,THEA010.03,Russian Theater,0,0,"LIT, W",0
THEA,THEA010.04,Acting for Musical Theater,0,1,ART,0
THEA,THEA010.05,Tragedy&Comedy Greece&Rome,0,0,"ART, W",0
THEA,THEA010.08,Creativity and Collaboration,0,5,ART,4
THEA,THEA010.11,Unveiling the Harem Dancer,0,0,,0
THEA,THEA010.13,Dramatic Storytelling - Plays and Screenplays!,0,0,ART,0
THEA,THEA010.22,Shakespeare in the Schools,0,0,ART,0
THEA,THEA010.23,Voices:Perform Activism,0,0,ART,0
THEA,THEA010.24,The Arts of War,0,0,"INT, ART",0
THEA,THEA010.25,"Music, Design, and Creativity",0,0,ART,0
THEA,THEA010.26,Sound Design,0,0,ART,0
THEA,THEA010.27,Latinx Stage and Screen,0,-1,,-1
THEA,THEA010.28,Emerging Musical Theater,0,1,ART,1
THEA,THEA010.29,Text Analysis: Tools for Interpretation,0,0,ART,0
THEA,THEA010.30,Theater of Ideas: Britain and France,0,0,"LIT, W",0
THEA,THEA010.32,Acting for Musical Theater II,0,0,ART,0
THEA,THEA010.33,Contemporary Performance,0,1,ART,0
THEA,THEA010.45,Arab Theatre,0,0,"NW, ART",0
THEA,THEA010.51,Black Theatre & Storytelling Workshop in XR: Reimagining The Purple Flower (1928),0,0,"ART, CI",0
THEA,THEA010.55,The Making of 21st Century Exhibits: Curating a National Black Theater Museum/Institution,0,0,"ART, CI",0
THEA,THEA010.56,Black Theatre Workshop: The August Wilson Experience,0,0,"ART, CI",0
THEA,THEA010.57,Dance Theatre of Harlem Workshop: Collaborative Storytelling Through Movement,1,2,"ART, CI",4
THEA,THEA010.64,Feminist & Queer Africa,2,2,"NW, ART",0
THEA,THEA010.65,Performeras on the Latin American Stage,0,0,"NW, ART",0
THEA,THEA010.68,Staging Rebellion,2,3,"NW, ART",7
THEA,THEA010.71,Plays OnStage: Acting Comedy,0,0,ART,0
THEA,THEA010.84,Performing Histories & Us,0,0,"ART, CI",0
THEA,THEA010.90,Contemporary Theater and Performance,0,-1,ART,0
THEA,THEA012,The Tragedy and Comedy of Greece and Rome,0,0,"ART, W",0
THEA,THEA015,Theatre and Society I: Classical and Medieval Performance,14,6,"INT, ART, W",1
THEA,THEA016,Theatre and Society II: Early Modern Performance,3,5,"INT, ART, W",5
THEA,THEA017,Theatre and Society III: 19th and 20th Century Performance,4,3,"INT, ART, W",2
THEA,THEA018,Russian Theater,0,0,,0
THEA,THEA019,Human Rights and Performance,1,1,,1
THEA,THEA021,"Race, Gender, and Performance",0,1,"ART, CI",4
THEA,THEA022,"Black Theater, U.S.A.",1,1,"ART, CI",2
THEA,THEA023,Postcolonial African Drama,0,0,"NW, ART",1
THEA,THEA024,Asian Performance Traditions,1,0,"NW, ART",2
THEA,THEA025,Solo Performance,0,0,ART,2
THEA,THEA026,Movement Fundamentals I,5,10,ART,12
THEA,THEA027,Movement Fundamentals II,10,6,ART,2
THEA,THEA028,Dance Composition,1,4,ART,4
THEA,THEA029,Dance Theater Performance,2,1,ART,3
THEA,THEA030,Acting I,99,72,ART,60
THEA,THEA031,Acting II,12,7,ART,3
THEA,THEA032,Acting III,3,2,,2
THEA,THEA034,Acting for the Camera,0,0,,1
THEA,THEA035,Acting for Musical Theater,3,12,ART,3
THEA,THEA036,The Speaking Voice for the Stage,10,4,ART,4
THEA,THEA040,Technical Production,29,6,ART,17
THEA,THEA041,Stage Management,7,6,ART,6
THEA,THEA042,Scene Design I,3,8,ART,5
THEA,THEA043,Scene Design II,2,1,ART,1
THEA,THEA044,Lighting Design,8,10,ART,4
THEA,THEA045,Composition and Design,6,1,,1
THEA,THEA046,Costume Production,1,1,,1
THEA,THEA048,Costume Design,10,6,"ART, W",3
THEA,THEA050,Playwriting I,20,12,ART,5
THEA,THEA051,Playwriting II,0,0,ART,1
THEA,THEA054,Directing,6,0,ART,2
THEA,THEA060,Classical Performance I,0,1,ART,2
THEA,THEA061,Classical Performance II,0,1,ART,2
THEA,THEA062,Plays in Performance-Perception and Analysis,4,2,"ART, W",2
THEA,THEA065,Summer Theater Lab,3,2,ART,2
THEA,THEA080,Independent Study,0,0,,1
THEA,THEA090,Contemporary Theater Practice,1,1,ART,4
THEA,THEA091,The Honors Thesis I,0,0,,1
THEA,THEA092,The Honors Thesis II,0,0,ART,0
SSOC,SSOC001,War and Peace in the Modern Age,4,22,,0
SPEE,SPEE020.01,Public Speaking,3,7,ART,1
SPEE,SPEE020.02,Public Speaking,11,3,ART,10
SPEE,SPEE020.03,Public Speaking,1,0,ART,-4
SPEE,SPEE020,Public Speaking,5,12,,7
SPEE,SPEE025,Persuasive Public Speaking,8,6,ART,0
SPEE,SPEE026,New Media Communication,2,6,ART,6
SPEE,SPEE027,Intercultural Communication,1,-2,"SOC, CI",-1
SPEE,SPEE030,Speechwriting,3,4,ART,2
SPEE,SPEE031,Rhetoric of Social Justice: Public Advocacy and U.S. Social Justice Movements,1,0,"ART, CI",1
SPEE,SPEE032,Legal Rhetoric,0,0,,1
SPEE,SPEE033,Political Humor Rhetoric: Contemporary Television,0,0,,1
SPEE,SPEE034,"Image Rhetoric: Image Attack, Image Repair, and Image Promotion",1,4,SOC,0
SPEE,SPEE035,Rhetorics of Race,0,0,,1
SPEE,SPEE036,Organizational Communication and Sustainability,0,1,SOC,2
SPEE,SPEE037,Health Communication,6,-1,SOC,0
SPEE,SPEE040,Resistance To Influence: Inoculation Theory-Based Persuasion,4,3,SOC,4
SPAN,SPAN001,Spanish I,171,114,,45
SPAN,SPAN002,Spanish II,213,149,,75
SPAN,SPAN003,Spanish III,176,100,,62
SPAN,SPAN005.01,Language Study Abroad: Barcelona,0,0,W,0
SPAN,SPAN005.02,Language Study Abroad: Buenos Aires,0,0,NW,0
SPAN,SPAN005,Language Study Abroad,9,4,"NW, W",0
SPAN,SPAN006.01,Language Study Abroad: Barcelona,0,0,"LIT, W",1
SPAN,SPAN006.02,Language Study Abroad: Buenos Aires,0,0,"NW, LIT",0
SPAN,SPAN006,Language Study Abroad,9,1,"NW, LIT",0
SPAN,SPAN007.02,Mural Art in Mexico & U.S.,6,2,"ART, W",2
SPAN,SPAN007.05,Utopia in Latin America,0,0,"LIT, W",0
SPAN,SPAN007.06,Quixote and the Quixotic,0,2,"INT, LIT, W",1
SPAN,SPAN007.07,Don Quixote in Lit and Film,4,0,"INT, LIT, W",0
SPAN,SPAN007.08,Cognitive Don Quixote,3,-2,"LIT, W",1
SPAN,SPAN007.09,Streaming Latin America,2,3,,4
SPAN,SPAN007,First-Year Seminars in Spanish and Spanish-American Literature,12,1,,0
SPAN,SPAN009,Culture and Conversation: Advanced Spanish Language,191,85,,39
SPAN,SPAN015,Latinx Writing and Composition,0,1,,0
SPAN,SPAN020,Writing and Reading: A Critical and Cultural Approach,40,37,LIT,15
SPAN,SPAN021,Traditional and Contemporary Andean Cosmogonies and Cultural Production: A Historical Approach,15,3,"SOC, NW",0
SPAN,SPAN022,Modern and Contemporary Spanish Artistic and Cultural Production,0,0,"ART, W",0
SPAN,SPAN023,Argentine Cultural Heritage,3,-1,"NW, ART",2
SPAN,SPAN024,Spanish Cultural Heritage,7,0,"ART, W",0
SPAN,SPAN030,Introduction to Hispanic Studies I: Middle Ages-17th Century,19,8,"LIT, W",-3
SPAN,SPAN031,Introduction to Hispanic Studies II: 18th and 19th Centuries,23,10,"LIT, W",5
SPAN,SPAN032,Introduction to Hispanic Studies III: 20th-21st Centuries,35,11,"LIT, W",2
SPAN,SPAN033,"Argentine Civilization: Society, Culture and Politics in Argentina",2,3,"SOC, NW",1
SPAN,SPAN034,"Society, Culture and Politics in Spain",6,2,"SOC, W",0
SPAN,SPAN035.01,Argentina On(the)line,0,0,"NW, LIT",0
SPAN,SPAN035,Studies in Spanish-American Literature and Culture,3,0,"NW, LIT",-1
SPAN,SPAN036,Studies in Modern and Contemporary Spanish Literature,8,-2,"LIT, W",0
SPAN,SPAN040.04,"Dali, Lorca and Bu\u00F1uel: The Secrets of Spanish Surrealism",0,0,,0
SPAN,SPAN040.05,Federico García Lorca and His Time,0,0,"LIT, W",0
SPAN,SPAN040.06,Love and all that Comes with It,1,1,"LIT, W",1
SPAN,SPAN040.07,Dark Mirror: Spanish Detective Fiction,1,0,"LIT, W",-1
SPAN,SPAN040.08,Tell Me a Story! The Modern Spanish Short Story,0,0,"LIT, W",1
SPAN,SPAN040.09,"The Shock of the Metropolis: America in the works of Lorca, Buñuel, and Dalí",0,1,"LIT, W",0
SPAN,SPAN040.10,Marginality and Novelistic Discourse in Early Modernity,0,0,"LIT, W",0
SPAN,SPAN040.11,Truth or Dare: Spanish American Testimonio and the Concept of Fake News,0,0,,0
SPAN,SPAN040.12,‘Cosas de ninos:’ Representations of Children in Modern Spanish Culture,0,0,"LIT, W",0
SPAN,SPAN040,Hispanic Literature and Culture by Period,11,1,,0
SPAN,SPAN043.04,The Best Hispanic Poetry: Emotion for the Contemporary Reader,0,0,"LIT, W",0
SPAN,SPAN043.05,Drawn to Resist: The Latin American Comics,1,1,"NW, ART",0
SPAN,SPAN043.06,"Tango Argentino: Music, Dance, Poetry, Community",1,2,"NW, ART",0
SPAN,SPAN043,Hispanic Literature and Culture by Genre,0,0,,0
SPAN,SPAN045.01,"Politics of Inedistribs1. Economy, Social Struggle, and the 19th Century Latin American Novel",1,2,"NW, LIT",1
SPAN,SPAN045.02,Diaspora and Economic Imaginaries in Hispanic Caribbean Literature,0,0,"NW, LIT",0
SPAN,SPAN045.03,Spanish Leviathan: Literature and State Violence from 1812 to 2009,0,0,"LIT, W",0
SPAN,SPAN045.04,Under the Influence. Intoxicating Goods and Vicious Texts from Early Modern Spain,0,1,"LIT, W",1
SPAN,SPAN045.05,The Stolen Children of Argentina and Spain,0,0,"ART, CI",0
SPAN,SPAN045.06,MigrationTransnationJustice,0,0,"NW, LIT",0
SPAN,SPAN045.07,"Slaves from the Past, Slaves Next Door",0,0,"INT, CI",0
SPAN,SPAN050.01,Machos and Malinches: Gender and Sexual Identities in Latin/x American Literature and Culture,0,3,"LIT, CI",1
SPAN,SPAN050.02,New Sexual and Social identity in Film and Literature in Post-Franco Spain,0,1,"LIT, CI",0
SPAN,SPAN050.03,"Politics of Masculinity: Latin American Narrative, Film, and Politics.",0,0,"NW, LIT, CI",0
SPAN,SPAN050.04,Let's not talk about it. Eroticism in Modern Spain,0,0,"LIT, W",0
SPAN,SPAN050.05,"Eroticism, Love and Sensuality in Hispanic Film",0,1,"ART, W",2
SPAN,SPAN053.01,Introduction to the History of the Spanish Language,0,0,"INT, LIT, W",0
SPAN,SPAN053.02,"Spanish Linguistics, Rhetoric, Poetics and the Politics of Language",2,2,"INT, W",0
SPAN,SPAN053.03,Bilingualism: Cognitive and Sociolinguistic Approaches to Bilingualism in the Spanish-speaking World,0,0,"INT, W",0
SPAN,SPAN055.04,"Humor and Politics in Latin American Literature, Film and Culture",1,2,"NW, LIT",0
SPAN,SPAN055.05,Indignant Spain: Crisis and New Social Movements Today,1,1,"SOC, W",0
SPAN,SPAN055.06,Slaughterhouses. The Life and Death of Humans and Animals in the Southern Cone,0,0,"SOC, NW",0
SPAN,SPAN055.07,Revolution & Art in Mexico,0,1,"NW, ART",0
SPAN,SPAN055.08,The New Argentine Short Story,0,0,"NW, LIT",0
SPAN,SPAN055.09,Revoltosos/as: Forms of Rebellion and Revolution in Imperial Spain and Spanish America,0,0,"LIT, W",0
SPAN,SPAN055.10,Mexican Utopias: Science Fiction and Mexican Literature and Cinema,0,1,"NW, LIT",0
